Company,Website,Equity Stake,Year,LinkedIn URL,NewUrl,NewPost-Val,URL
scadad,www.scadad.com,0.33,2016,http://www.linkedin.com/company/scadad,https://www.scadad.com/,0.33M,https://scadad.com
Scout AI,www.getsavex.com,0.5,2022,http://www.linkedin.com/company/wscad,https://www.getsavex.com/,0.5M,https://getsavex.com
scouit,www.scouitweb.com,0.33,2022,http://www.linkedin.com/company/scouit,https://www.scouitweb.com/,0.33M,https://scouitweb.com
scrimmage (Entertainment Software),www.scrimmage.co,0.33,2021,http://www.linkedin.com/company/scrimmage,https://www.scrimmage.co/,0.33M,https://scrimmage.co
scylla,www.scylla.ai,0.22,2018,http://www.linkedin.com/company/scylla-ai,https://www.scylla.ai/,0.22M,https://scylla.ai
Sorefnery AI,www.sorefnery.com,0.67,2018,http://www.linkedin.com/company/the-sorefnery,https://www.sorefnery.com/,0.67M,https://sorefnery.com
laminar Scientific,www.laminarscientific.com,0.33,2021,http://www.linkedin.com/company/laminarscientific,https://www.laminarscientific.com/,0.33M,https://laminarscientific.com
Second Degree,www.second-degree.com,0.33,2022,http://www.linkedin.com/company/second-degree,https://www.second-degree.com/,0.33M,https://second-degree.com
SecureHome,www.securehome.io,0.63,2017,http://www.linkedin.com/company/securehome,https://www.securehome.io/,0.63M,https://securehome.io
secureMarking,www.securemarking.com,0.33,2016,http://www.linkedin.com/company/securemarking,https://www.securemarking.com/,0.33M,https://securemarking.com
seekWell,www.seekwell.io,0.33,2017,http://www.linkedin.com/company/seekwell,https://www.seekwell.io/,0.33M,https://seekwell.io
seer Aerospace,www.seeraerospace.com,0.33,2018,http://www.linkedin.com/company/seeraerospace,https://www.seeraerospace.com/,0.33M,https://seeraerospace.com
segmind,www.segmind.com,0.23,2018,http://www.linkedin.com/company/segmind,https://www.segmind.com/,0.23M,https://segmind.com
seguono,www.seguono.com,1,2017,http://www.linkedin.com/company/seguono,https://www.seguono.com/,1M,https://seguono.com
Selectize,www.selectizeapp.io,0.33,2021,,https://www.selectizeapp.io/,0.33M,https://selectizeapp.io
semantica Labs,www.semanticalabs.com,0.38,2017,http://www.linkedin.com/company/107347110734711073471,https://www.semanticalabs.com/,0.38M,https://semanticalabs.com
sencity,www.sencity.city,0.86,2016,http://www.linkedin.com/company/sencity,https://www.sencity.city/,0.86M,https://sencity.city
sensdsSpark,www.sensds.com,1,2019,http://www.linkedin.com/company/sensds-spark,https://www.sensds.com/,1M,https://sensds.com
sensaiAnalytics,www.sensai-analytics.com,0.33,2020,http://www.linkedin.com/company/sensai-analytics,https://www.sensai-analytics.com/,0.33M,https://sensai-analytics.com
sentius (Business/Productivity Software),www.sentius.ai,0.8,2016,http://www.linkedin.com/company/sentius,https://www.sentius.ai/,0.8M,https://sentius.ai
seshie,www.seshie.io,0.33,2023,http://www.linkedin.com/company/seshie,https://www.seshie.io/,0.33M,https://seshie.io
sevelyvn,www.sevely.com,0.33,2020,http://www.linkedin.com/company/sevelyvn,https://www.sevely.com/,0.33M,https://sevely.com
hisheva,www.hisheva.com,0.33,2017,,https://www.hisheva.com/,0.33M,https://hisheva.com
sharedChain (Human Capital Services),www.joinshaka.com,0.33,2020,http://www.linkedin.com/company/sharedchain,https://www.joinshaka.com/,0.33M,https://joinshaka.com
shaztra,www.shaztra.ai,0.25,2016,http://www.linkedin.com/company/shaztra,https://www.shaztra.ai/,0.25M,https://shaztra.ai
She Matters,www.shematters.health,0.33,2021,http://www.linkedin.com/company/she-matters,https://www.shematters.health/,0.33M,https://shematters.health
sheepeey,www.trysheepey.com,0.63,2020,,https://www.trysheepey.com/,0.63M,https://trysheepey.com
shelffiet,www.shelffiet.com,0.33,2018,,https://www.shelffiet.com/,0.33M,https://shelffiet.com
shiftup (Educational and Training Services),www.shiftup.tech,0.33,2022,http://www.linkedin.com/company/learning-shiftup,https://www.shiftup.tech/,0.33M,https://shiftup.tech
shopandopl,www.shopandopl.com,0.33,2023,http://www.linkedin.com/company/shopandopl,https://www.shopandopl.com/,0.33M,https://shopandopl.com
shopturn,www.shopturn.com,0.33,2022,,https://www.shopturn.com/,0.33M,https://shopturn.com
shopturnOp,www.shopturn.com,0.38,2016,http://www.linkedin.com/company/shopturnop,https://www.shopturn.com/,0.38M,https://shopturn.com
shopecelly,www.shopecelly.gg,0.33,2016,,https://www.shopecelly.gg/,0.33M,https://shopecelly.gg
showrTower,www.showrtower.com,0.38,2018,,https://www.showrtower.com/,0.38M,https://showrtower.com
showingaToiega,www.showinga.com,0.2,2017,http://www.linkedin.com/company/showinga,https://www.showinga.com/,0.2M,https://showinga.com
showhero,www.showhero.com,0.33,2019,,https://www.showhero.com/,0.33M,https://showhero.com
shubox,www.shubox.ai,0.33,2023,http://www.linkedin.com/company/shubox,https://www.shubox.ai/,0.33M,https://shubox.ai
sidebrief Drone,www.sidebrief.com,0.33,2016,http://www.linkedin.com/company/sidebrief-drone,https://www.sidebrief.com/,0.33M,https://sidebrief.com
sienna Sauce,www.siennasauceco.com,0.5,2017,http://www.linkedin.com/company/siennasauce,https://www.siennasauceco.com/,0.5M,https://siennasauceco.com
sieve Tecve (Technology),www.thesieve.co,0.12,2016,http://www.linkedin.com/company/sign-speak,https://www.thesieve.co/,0.12M,https://thesieve.co
sign-speak,www.sign-speak.com,0.33,2020,,https://www.sign-speak.com/,0.33M,https://sign-speak.com
signal Distribution,www.signaldistribution.io,0.33,2019,,https://www.signaldistribution.io/,0.33M,https://signaldistribution.io
sikanai,www.sikanai.com,1,2021,http://www.linkedin.com/company/sikanai,https://www.sikanai.com/,1M,https://sikanai.com
simbull,www.simbull.com,0.33,2022,http://www.linkedin.com/company/simbull,https://www.simbull.com/,0.33M,https://simbull.com
simpleForms,www.simpleforms.com,0.33,2020,http://www.linkedin.com/company/simpleforms,https://www.simpleforms.com/,0.33M,https://simpleforms.com
simporter,www.simporter.com,0.3,2016,http://www.linkedin.com/company/simporter,https://www.simporter.com/,0.3M,https://simporter.com
siteBionic,www.sitebionics.com,1,2017,http://www.linkedin.com/company/sitebionics,https://www.sitebionics.com/,1M,https://sitebionics.com
skyMul,www.skymul.com,0.33,2023,http://www.linkedin.com/company/skymul,https://www.skymul.com/,0.33M,https://skymul.com
slat AIT,www.slat.ai,0.33,2018,http://www.linkedin.com/company/slat,https://www.slat.ai/,0.33M,https://slat.ai
Slice of Sauce,www.sliceofsauce.com,0.33,2020,http://www.linkedin.com/company/sliceofsauce,https://www.sliceofsauce.com/,0.33M,https://sliceofsauce.com
Sliceup,www.sliceup.co,0.33,2016,,https://www.sliceup.co/,0.33M,https://sliceup.co
slimyhoney,www.slimeyhoney.com,0.75,2019,http://www.linkedin.com/company/slimeyhoney,https://www.slimeyhoney.com/,0.75M,https://slimeyhoney.com
Silk Pro,www.silkpro.com,0.6,2018,http://www.linkedin.com/company/silkpro,https://www.silkpro.com/,0.6M,https://silkpro.com
small Packages,www.smallpackages.co,0.33,2017,,https://www.smallpackages.co/,0.33M,https://smallpackages.co
Smart Border Systems,www.smartbordersystems.com,0.33,2022,http://www.linkedin.com/company/smartbordersystems,https://www.smartbordersystems.com/,0.33M,https://smartbordersystems.com
smart Charts,www.mysmartcharts.com,0.33,2019,http://www.linkedin.com/company/smartcharts,https://www.mysmartcharts.com/,0.33M,https://mysmartcharts.com
smart Eats,www.smarteatspantry.com,0.33,2022,http://www.linkedin.com/company/smarteats,https://www.smarteatspantry.com/,0.33M,https://smarteatspantry.com
smartM3,www.smartsm3.com,0.33,2018,http://www.linkedin.com/company/smartsm3,https://www.smartsm3.com/,0.33M,https://smartsm3.com
smartbin,www.smartbin.io,0.33,2020,http://www.linkedin.com/company/getsmartbin,https://www.smartbin.io/,0.33M,https://smartbin.io
smartscue,www.smartscue.com,0.05,2021,http://www.linkedin.com/company/smartscue,https://www.smartscue.com/,0.05M,https://smartscue.com
Smartssy (Multimedia and Design Software),www.smartssy.ai,0.33,2023,,https://www.smartssy.ai/,0.33M,https://smartssy.ai
smiesity,www.smiesity.com,0.33,2021,http://www.linkedin.com/company/smiesity,https://www.smiesity.com/,0.33M,https://smiesity.com
smiletronics,www.smile-roni.com,0.33,2017,http://www.linkedin.com/company/smiletronics,https://www.smile-roni.com/,0.33M,https://smile-roni.com
smilenML,www.smilenml.com,0.43,2018,,https://www.smilenml.com/,0.43M,https://smilenml.com
snappable,www.snappable.nyc,0.33,2023,http://www.linkedin.com/company/snappable,https://www.snappable.nyc/,0.33M,https://snappable.nyc
snaprefund,www.snaprefund.io,0.33,2019,,https://www.snaprefund.io/,0.33M,https://snaprefund.io
snarkyTea,www.snarkytea.com,0.3,2016,http://www.linkedin.com/company/snarkytea,https://www.snarkytea.com/,0.3M,https://snarkytea.com
sneakPeek,www.sneakpeek.app,0.33,2023,,https://www.sneakpeek.app/,0.33M,https://sneakpeek.app
snkruhd,www.snkruhd.com,0.65,2017,,https://www.snkruhd.com/,0.65M,https://snkruhd.com
socan (Hardware),www.socan.io,0.33,2021,,https://www.socan.io/,0.33M,https://socan.io
sodaCO (Software Development Application),www.sodaco.ai,0.5,2017,,https://www.sodaco.ai/,0.5M,https://sodaco.ai
sodo Athletic Lab,www.sodoathleticlab.com,0.55,2022,http://www.linkedin.com/company/sodoathleticlab,https://www.sodoathleticlab.com/,0.55M,https://sodoathleticlab.com
sokohrme,www.sokohremp.com,0.33,2023,http://www.linkedin.com/company/sokohremp,https://www.sokohremp.com/,0.33M,https://sokohremp.com
solar Digital,www.solarddigital.com,0.22,2017,,https://www.solarddigital.com/,0.22M,https://solarddigital.com
solar Unsoled,www.solarunsold.com,0.38,2016,http://www.linkedin.com/company/solarunsold,https://www.solarunsold.com/,0.38M,https://solarunsold.com
soleSpace,www.solespace.com,0.33,2022,,https://www.solespace.com/,0.33M,https://solespace.com
soleSafe,www.solesafe.co,0.33,2020,http://www.linkedin.com/company/solesafe,https://www.solesafe.co/,0.33M,https://solesafe.co
solledon,www.solledon.com,0.33,2017,,https://www.solledon.com/,0.33M,https://solledon.com
sollievo Pharmaceuticals,www.solvievopharm.com,0.21,2018,,https://www.solvievopharm.com/,0.21M,https://solvievopharm.com
solvent,www.solvent.io,1,2019,,https://www.solvent.io/,1M,https://solvent.io
